name,type,since,days_ago,price,area,rooms,img,url,lat,lon,description,availability
Nieuwenhoornstraat,Room,24-11-2022,0,650,12 m²,1 room,https://media.pararius.nl/image/PR0001669000/PR0001669260/image/jpeg/400x600/DenHaagSchaarsbergenstraat-a9bf_3.jpg,https://www.pararius.com/room-for-rent/rotterdam/15ccf016/nieuwenhoornstraat,51.88834,4.46417,"Available: Directly  
It is a fully furnished room with a closet, bed, table and chair. Its pretty simple and decent. Lots of storage space  
Registration: Possible  
Rental price: 650 including g. w. e + internet  
Deposit: 2 months rent  
Property State: Furnished  
Details  
This room has extra storage space. The apartment has 4 bedrooms, 1 living room, 1 bathroom, 2 toilets, 1 study and 1 laundry room. It is a spacious 3-storey apartment. You share with 3 other persons. They are 3 male working person ( 1 Romanian, 1 Filipino and 1 Kenyan)  
– The apartment is in a very nice and quiet residential area.   
– The bus stop is on the next street – Verboomstraat, less than 5 minutes walking distance  
– The tram stop is also 2 blocks away and a 5 minute walk away.   
– The apartment is fully furnished with all kitchen utensils and appliances such as a combination microwave, fridge with freezer compartment. The apartment is cleaned twice a month and this is included in the price.

",From 01-12-2022
s,Apartment,24-11-2022,0,835,35 m²,2 rooms,https://casco-media-prod.global.ssl.fastly.net/297f6327-0b4d-5cf0-b268-02923cf59614/12cca585886c15cf2c5c809935ab3ac3.jpg?width=600&auto=webp,https://www.pararius.com/apartment-for-rent/rotterdam/297f6327/s-gravendijkwal,51.91768,4.46327,"Comfortable apartment for rent in Rotterdam with 1 bedroom in the Oude Westen district.

",Immediately
Van,Apartment,24-11-2022,0,900,64 m²,2 rooms,https://casco-media-prod.global.ssl.fastly.net/ac6980e8-d696-5566-b039-69fa236b0aea/447bce48c02fcaf178bdc754283d6a6c.jpg?width=600&auto=webp,https://www.pararius.com/apartment-for-rent/rotterdam/ac6980e8/van-cittersstraat,51.91842,4.44595,"Beautiful apartment for rent in Rotterdam with 1 bedroom in the Nieuwe Westen district.

",Immediately
Schonebergerweg,Studio,24-11-2022,0,795,53 m²,1 room,https://media.pararius.nl/image/PR0001669000/PR0001669237/image/jpeg/400x600/RotterdamSchonebergerweg-6742_15.jpg,https://www.pararius.com/studio-for-rent/rotterdam/529734ab/schonebergerweg,51.90934,4.45521,"Listing_description.intro.studio.40-59 studio for rent in Rotterdam with 1 bedroom in the Nieuwe Westen district.

",Immediately
Noordmolenstraat,Apartment,22-11-2022,2,763,32 m²,2 rooms,https://casco-media-prod.global.ssl.fastly.net/315b27a7-d615-51d4-b951-01b2877097a5/2095783f9a437f894ebda191e6c2e464.jpg?width=600&auto=webp,https://www.pararius.com/apartment-for-rent/rotterdam/315b27a7/noordmolenstraat,51.93101,4.48411,"Nice 2 room apartment on the 1st floor located on the Noordmolenstraat!
The Noordmolenstraat is located in the Oude Noorden next to the bustling Zwart Janstraat and within walking distance of the center of Rotterdam. The public transport options are wide.
Layout:
Communal entrance, hall.
1st floor:
The open kitchen can be reached through the entrance, followed by the living room. The bedroom is located at the front of the house. Through the (shared) hall you can reach the bathroom, which has a lockable walk-in shower and toilet. The terrace can also be reached via the bathroom.
NB:

rental price: €763.00 excl.;
available: from 15-12-2022;

This text is not legally binding.
Interested?
Under the heading 'How does it work?' on our website it is well explained how the process works if you would like to be considered for this property.
Do you also want to be the first to know about new homes that we offer? Follow us on Instagram, Facebook or LinkedIn!

",From 15-12-2022
Navanderstraat,Apartment,22-11-2022,2,740,60 m²,2 rooms,https://casco-media-prod.global.ssl.fastly.net/7fe35190-c804-513a-a41a-7e3d16a26b77/379e2c3ab265891343edde1a578792d8.jpg?width=600&auto=webp,https://www.pararius.com/apartment-for-rent/rotterdam/7fe35190/navanderstraat,51.93291,4.45462,"Apartment with balcony for rent in Rotterdam with 1 bedroom in the Blijdorp district.

",In consultation
Zuidhoek,Room,22-11-2022,2,495,16 m²,1 room,https://casco-media-prod.global.ssl.fastly.net/ceb6e13f-2a78-55ab-b0cf-d0e91fc74a09/175458536a6710a6f5b46ac3cc881b37.jpg?width=600&auto=webp,https://www.pararius.com/room-for-rent/rotterdam/ceb6e13f/zuidhoek,51.88777,4.46184,"In the pleasant neighborhood of Oud-Charlois, this recently renovated student room of approximately 16 m2 is located in an apartment of 77 m2 in total.
The location is ideal for students. The Zuidhoek is a relatively quiet street from which you have an excellent connection with Rotterdam Noord. All universities of applied sciences and the Erasmus University are easily accessible.
The room called 'Italy' is located on the second floor at the rear. This spacious room has its own laundry / pantry and balcony!
You share the bathroom with 1 other resident. You share the kitchen with 2 other residents. There is also a cozy shared living room.
The student house has 3 rooms in total.
General:

Surface room: 16 m2
The room can be locked with a lock
Rental profile: (International) student or young professional
Smoking and pets not allowed

Financial:

Deposit 1 month rent
Rental price: € 495,- excl.
Gas/Water/Light, TV and Internet: €140 per month
Tenant subscription: € 29.50 per month
Municipal taxes own responsibility
Pets and smoking prohibited

Tenant profile:

Student with guarantor or young professional
Suitable for 1 person
Rental term 12 months


",Immediately
e,Apartment,22-11-2022,2,875,46 m²,2 rooms,https://casco-media-prod.global.ssl.fastly.net/79ee95df-164a-57bc-bd57-f8286dbf30f9/f6661ff9e1ad365efd39e03a0ad343d9.jpg?width=600&auto=webp,https://www.pararius.com/apartment-for-rent/rotterdam/79ee95df/2e-rosestraat,51.89893,4.50955,"Bright 2-room apartment at the 2e Rosestraat in the Feijenoord district for rent. The accommodation is rented in partly decorated condition and is situated on the first floor. The city centre is reachable in 15 minutes by bike and in 15 minutes by public transport. In short distance you can find several shops, restaurants, supermarket and public transport connections.
Layout:

Living room with open kitchen with a surface of ca. 24m².
Bedroom of ca. 15m².
Balcony of ca. 3m².
Bathroom.
Laundry room of ca. 2m².

Various characteristics: 

Inventory/Decoration: laminate flooring and lamps.
Kitchen facilities: kitchen without appliances.
Bathroom facilities: shower, washing basin and toilet.
Heating facilities: central heating system.
Window type: double glazing.

Conditions:

The monthly rent is € 875,-.  Additional monthly costs consist of gas, water, electricity, internet, TV and municipal taxes. For a rough estimate of the costs you can check the website of Nibud (the national institute for budget information) under Uitgaven/Expenses. As agent we help you free of charge to arrange the utility contracts.
Applying for rent subsidy is not possible.
The deposit equals € 875,-.
Habitation is possible for a maximum of 2 persons. Habitation by 2 persons is only suitable for a couple, not individual sharers.
The minimum rental period is 12 months.
Smoking inside the accommodation is not permitted.
Pets are not permitted.

Income requirement working people:

Net income of 2.75 times the rent for 1 person and 3.5 times the rent for 2 people.
For employees: a remaining term of employment of at least 10 months or a letter of intent for extension.
For self-employed persons: a confirmation of income by an external accountant for the full past financial year and the current financial year (forecast).
In other cases one may qualify with a guarantor, or a deposit which is increased by 1 to 2 months' rent.

Income requirement students:

Renting by students is possible.
Students can qualify with a guarantor or a deposit increased by 1 to 2 months' rent.

Income requirement guarantors:

Living or working in the Netherlands.
Sufficient income and / or ability to be able to meet the rental obligations in addition to the own living expenditures.
Furthermore, the same requirements that apply for employees or self-employed persons.

Interested?
We schedule viewings by e-mail. This way we can give you a clear picture of the rental process. Please respond to the advertisement or email us. We normally reply within two working days. Thank you for your effort!

",From 01-01-2023
Dordtselaan,Apartment,21-11-2022,3,395,15 m²,1 room,https://casco-media-prod.global.ssl.fastly.net/ac47d542-8635-5524-b4b3-99c8dc695fd6/63bba83cdb08f1a480fa290413be03f2.jpg?width=600&auto=webp,https://www.pararius.com/apartment-for-rent/rotterdam/ac47d542/dordtselaan,51.89358,4.49417,"Note: ROOM with shared kitchen and bathroom.
The Room is located within walking distance of various facilities such as the Zuidplein shopping center, Zuiderpark, Maassilo and Ahoy.
Because of the good connection with public transport, you are in the center of Rotterdam within 15 minutes.
Particularities:
Please note this is a room with shared facilities only. Suitable for MAXIMUM 1 person!
Requirements:
• Available from 05-12-2022
• The monthly rent is €395.00 excluding g/w/e, internet, TV, municipal taxes but including service costs.
• We assist free of charge in concluding utility contracts.
• The deposit is €790.00
• Smoking and pets not allowed
• Rental period: temporarily 12 months
Income requirement:
• 3 times the rent gross per month on 1 income
• The income requirement for a guarantor is 5x the rent gross per month on 1 income

No rights can be derived from the data, text and photos of this object


",From 05-12-2022
Middellandplein,Room,21-11-2022,3,380,20 m²,1 room,https://casco-media-prod.global.ssl.fastly.net/f57971e6-ded3-59a2-a434-9e38296f4ded/20857bbbdbde358f2f31eb6f49e56ed7.jpg?width=600&auto=webp,https://www.pararius.com/room-for-rent/rotterdam/f57971e6/middellandplein,51.91822,4.45825,"** VIEWING =FULLY BOOKED! If you send us an e-mail, you will automatically be put on the waiting list. 
ROTTERDAM MIDDELLAND: Spacious room with shared kitchen and bathroom, available immediately for 1 year!
 Interested? Please respond by the contact buttons next to this description or send us an e-mail 
KEY FEATURES:
•   The apartment will be rented in current condition
•   Housing allowance is not possible
•   Close to a wealth of amenities and transport links
•   Suitable for 1 person (not a couple)
AREA:
Middelland has a central location, making it pleasant city living. Characteristic are the avenues and canals with stately architecture and therefore have a rustic look. No other neighborhood has two faces as the Middelland; the bustle of the city and at the same time a cozy living environment. Because of the diversity you will find everything in the field of food, delicatessens and toko's, but also various restaurants and craft shops. Furthermore, the house is conveniently located for roads (A13 and A20) and public transport (trams and Central Station). Finally, the city center is very easy and quick to reach.
GROUND FLOOR:
Closed entrance and shared staircase.
FIRST FLOOR:
Entrance of this apartment. Corridor with access to all rooms.
Shared kitchen and bathroom (with 2 other residents).
The room is located at the quiet rear, next to the kitchen.
•   Available directly
•   The mentioned price is including € 80,- for service costs, gas, water, electricity
•   The apartment will be rented in current condition
•   Deposit equal to two months rent
•   A temporary rental contract will be used (art. 7: 271 DCC, max 1 years)
•   Renting with guarantor is possible in consultation
•   Pets and smoking not allowed
•   Minimum income requirement is equal to 3 times the rent. As a couple, this is equal to 4 times the rent
No rights can be derived from the data and photos. The given characteristics are only meant as an indication.
INTERESTED?:
•   The Rental Rotterdam Team is dedicated to helping you find the right home.
•   Ready to apply or want to schedule a viewing? Please respond by the contact buttons next to this description or send us an e-mail. That way we will be able to help you better and faster.
•   A rental agent will then get back to you as soon as possible.
•   If you have any questions or need advice, please also respond by the contact buttons next to this description or send us an e-mail. Our rental agents will be happy to assist you.
•   Thanks for your understanding and cooperation.

",Immediately
